Sample	Temp	Count
0	2.600000	0
1	2.595960	0
2	2.591919	0
3	2.587879	0
4	2.583838	0
5	2.579798	0
6	2.575758	0
7	2.571717	0
8	2.567677	0
9	2.563636	0
10	2.559596	0
11	2.555556	0
12	2.551515	0
13	2.547475	0
14	2.543434	0
15	2.539394	0
16	2.535354	0
17	2.531313	0
18	2.527273	0
19	2.523232	0
20	2.519192	0
21	2.515152	0
22	2.511111	0
23	2.507071	0
24	2.503030	1
25	2.498990	0
26	2.494949	1
27	2.490909	0
28	2.486869	3
29	2.482828	1
30	2.478788	2
31	2.474747	4
32	2.470707	5
33	2.466667	7
34	2.462626	12
35	2.458586	17
36	2.454545	16
37	2.450505	24
38	2.446465	40
39	2.442424	52
40	2.438384	52
41	2.434343	49
42	2.430303	78
43	2.426263	95
44	2.422222	134
45	2.418182	104
46	2.414141	136
47	2.410101	160
48	2.406061	203
49	2.402020	179
50	2.397980	204
51	2.393939	264
52	2.389899	270
53	2.385859	259
54	2.381818	330
55	2.377778	342
56	2.373737	339
57	2.369697	338
58	2.365657	363
59	2.361616	365
60	2.357576	355
61	2.353535	335
62	2.349495	360
63	2.345455	348
64	2.341414	337
65	2.337374	331
66	2.333333	372
67	2.329293	303
68	2.325253	308
69	2.321212	274
70	2.317172	278
71	2.313131	222
72	2.309091	245
73	2.305051	195
74	2.301010	171
75	2.296970	194
76	2.292929	169
77	2.288889	129
78	2.284848	107
79	2.280808	96
80	2.276768	81
81	2.272727	53
82	2.268687	53
83	2.264646	65
84	2.260606	38
85	2.256566	18
86	2.252525	24
87	2.248485	21
88	2.244444	30
89	2.240404	10
90	2.236364	5
91	2.232323	7
92	2.228283	11
93	2.224242	1
94	2.220202	2
95	2.216162	1
96	2.212121	0
97	2.208081	1
98	2.204040	1
99	2.200000	0
