Sample	Beta	Count
0	0.410000	0
1	0.410251	0
2	0.410503	0
3	0.410754	0
4	0.411005	0
5	0.411256	0
6	0.411508	0
7	0.411759	0
8	0.412010	0
9	0.412261	0
10	0.412513	0
11	0.412764	0
12	0.413015	0
13	0.413266	0
14	0.413518	0
15	0.413769	0
16	0.414020	0
17	0.414271	0
18	0.414523	0
19	0.414774	0
20	0.415025	0
21	0.415276	0
22	0.415528	0
23	0.415779	0
24	0.416030	0
25	0.416281	0
26	0.416533	0
27	0.416784	0
28	0.417035	0
29	0.417286	0
30	0.417538	0
31	0.417789	0
32	0.418040	0
33	0.418291	1
34	0.418543	1
35	0.418794	0
36	0.419045	0
37	0.419296	0
38	0.419548	0
39	0.419799	0
40	0.420050	0
41	0.420302	0
42	0.420553	0
43	0.420804	0
44	0.421055	0
45	0.421307	1
46	0.421558	0
47	0.421809	2
48	0.422060	3
49	0.422312	2
50	0.422563	4
51	0.422814	6
52	0.423065	4
53	0.423317	6
54	0.423568	7
55	0.423819	11
56	0.424070	8
57	0.424322	7
58	0.424573	10
59	0.424824	20
60	0.425075	22
61	0.425327	26
62	0.425578	25
63	0.425829	35
64	0.426080	21
65	0.426332	50
66	0.426583	50
67	0.426834	50
68	0.427085	45
69	0.427337	47
70	0.427588	69
71	0.427839	69
72	0.428090	82
73	0.428342	69
74	0.428593	76
75	0.428844	88
76	0.429095	114
77	0.429347	86
78	0.429598	115
79	0.429849	118
80	0.430101	134
81	0.430352	112
82	0.430603	129
83	0.430854	138
84	0.431106	135
85	0.431357	164
86	0.431608	155
87	0.431859	173
88	0.432111	174
89	0.432362	189
90	0.432613	185
91	0.432864	196
92	0.433116	183
93	0.433367	183
94	0.433618	187
95	0.433869	219
96	0.434121	190
97	0.434372	197
98	0.434623	173
99	0.434874	183
100	0.435126	194
101	0.435377	179
102	0.435628	188
103	0.435879	190
104	0.436131	170
105	0.436382	172
106	0.436633	173
107	0.436884	165
108	0.437136	186
109	0.437387	160
110	0.437638	145
111	0.437889	156
112	0.438141	154
113	0.438392	159
114	0.438643	162
115	0.438894	145
116	0.439146	130
117	0.439397	103
118	0.439648	125
119	0.439899	147
120	0.440151	135
121	0.440402	129
122	0.440653	111
123	0.440905	88
124	0.441156	87
125	0.441407	87
126	0.441658	95
127	0.441910	90
128	0.442161	67
129	0.442412	85
130	0.442663	88
131	0.442915	69
132	0.443166	65
133	0.443417	66
134	0.443668	74
135	0.443920	60
136	0.444171	54
137	0.444422	42
138	0.444673	36
139	0.444925	40
140	0.445176	40
141	0.445427	30
142	0.445678	40
143	0.445930	30
144	0.446181	20
145	0.446432	27
146	0.446683	15
147	0.446935	19
148	0.447186	25
149	0.447437	18
150	0.447688	16
151	0.447940	18
152	0.448191	12
153	0.448442	15
154	0.448693	11
155	0.448945	11
156	0.449196	11
157	0.449447	12
158	0.449698	11
159	0.449950	13
160	0.450201	5
161	0.450452	12
162	0.450704	10
163	0.450955	6
164	0.451206	8
165	0.451457	2
166	0.451709	1
167	0.451960	5
168	0.452211	2
169	0.452462	8
170	0.452714	6
171	0.452965	4
172	0.453216	4
173	0.453467	1
174	0.453719	1
175	0.453970	0
176	0.454221	2
177	0.454472	1
178	0.454724	2
179	0.454975	0
180	0.455226	0
181	0.455477	4
182	0.455729	1
183	0.455980	0
184	0.456231	0
185	0.456482	0
186	0.456734	0
187	0.456985	0
188	0.457236	0
189	0.457487	0
190	0.457739	0
191	0.457990	0
192	0.458241	0
193	0.458492	0
194	0.458744	0
195	0.458995	0
196	0.459246	0
197	0.459497	0
198	0.459749	1
199	0.460000	0
