Beta	Magnetization	Heat capacity	Energy	Energy^2
0.435327	0.690305	0.005291	-1.416859	2.035409
0.435528	0.718664	0.005334	-1.433172	2.082100
0.435729	0.658336	0.005618	-1.396641	1.980194
0.435930	0.714195	0.005448	-1.436844	2.093188
0.436131	0.612625	0.007224	-1.388203	1.965087
0.436332	0.693961	0.006147	-1.436234	2.095057
0.436533	0.635844	0.006232	-1.392516	1.971802
0.436734	0.653523	0.006302	-1.409000	2.018321
0.436935	0.659594	0.006023	-1.397531	1.984640
0.437136	0.696602	0.005872	-1.437453	2.097002
0.437337	0.703984	0.005529	-1.436297	2.091858
0.437538	0.669547	0.006603	-1.412250	2.028941
0.437739	0.721023	0.006176	-1.449859	2.134321
0.437940	0.730516	0.004992	-1.441688	2.104489
0.438141	0.672359	0.006379	-1.425500	2.065277
0.438342	0.645242	0.006296	-1.401969	1.998283
0.438543	0.680594	0.006230	-1.423109	2.057636
0.438744	0.730711	0.005106	-1.461781	2.163330
0.438945	0.689055	0.006001	-1.427391	2.068588
0.439146	0.702977	0.005672	-1.438078	2.097482
0.439347	0.746633	0.005155	-1.468359	2.182783
0.439548	0.743547	0.005474	-1.475359	2.205016
0.439749	0.746594	0.004784	-1.466016	2.173939
0.439950	0.721773	0.006022	-1.451750	2.138691
0.440151	0.726477	0.005559	-1.462156	2.166594
0.440352	0.640648	0.006697	-1.407375	2.015241
0.440553	0.711781	0.005762	-1.452156	2.138443
0.440754	0.761258	0.004664	-1.488531	2.239732
0.440955	0.700289	0.005445	-1.446516	2.120411
0.441156	0.706969	0.006430	-1.452172	2.141840
0.441357	0.756094	0.004824	-1.482219	2.221735
0.441558	0.740656	0.005947	-1.463359	2.171922
0.441759	0.710406	0.005857	-1.458828	2.158193
0.441960	0.711523	0.005934	-1.460141	2.162389
0.442161	0.699508	0.005807	-1.445078	2.117953
0.442362	0.759711	0.005003	-1.490938	2.248461
0.442563	0.768992	0.004883	-1.490656	2.246989
0.442764	0.702484	0.006079	-1.457078	2.154085
0.442965	0.725336	0.006424	-1.463781	2.175396
0.443166	0.720414	0.006678	-1.467922	2.188798
0.443367	0.713906	0.006146	-1.469391	2.190372
0.443568	0.732984	0.005784	-1.481500	2.224242
0.443769	0.772219	0.004810	-1.503234	2.284136
0.443970	0.743875	0.005346	-1.480156	2.217983
0.444171	0.740109	0.005606	-1.485047	2.233779
0.444372	0.695477	0.006725	-1.463391	2.175571
0.444573	0.738109	0.005772	-1.480891	2.222242
0.444774	0.777070	0.004442	-1.508359	2.297605
0.444975	0.760023	0.005095	-1.494031	2.257860
0.445176	0.711391	0.005837	-1.464016	2.172797
0.445377	0.739945	0.005550	-1.474500	2.202130
0.445578	0.724016	0.005754	-1.481031	2.222436
0.445779	0.724063	0.006405	-1.474297	2.205785
0.445980	0.776680	0.004778	-1.512188	2.310736
0.446181	0.760961	0.005271	-1.496953	2.267344
0.446382	0.706672	0.006543	-1.471062	2.196861
0.446583	0.732930	0.006314	-1.480594	2.223819
0.446784	0.779422	0.004878	-1.514375	2.317770
0.446985	0.758227	0.004889	-1.497469	2.266881
0.447186	0.774492	0.005029	-1.512625	2.313183
0.447387	0.755805	0.005750	-1.502500	2.286236
0.447588	0.742453	0.005742	-1.497703	2.271777
0.447789	0.762281	0.005671	-1.518781	2.334980
0.447990	0.765891	0.005252	-1.512781	2.314676
0.448191	0.738500	0.005600	-1.487406	2.240255
0.448392	0.769938	0.005867	-1.514250	2.322132
0.448593	0.782234	0.005241	-1.529656	2.365893
0.448794	0.678953	0.006612	-1.446844	2.126182
0.448995	0.776602	0.005027	-1.524781	2.349893
0.449196	0.786008	0.004546	-1.520328	2.333926
0.449397	0.731883	0.006207	-1.504203	2.293360
0.449598	0.768672	0.005471	-1.521328	2.341506
0.449799	0.781484	0.005086	-1.526547	2.355483
0.450000	0.782578	0.005092	-1.529313	2.363942
