Energy	ln(density of states)
-1152	0.693147	576.000000
-1148	-33748.726164	0.000000
-1144	6.631990	574.000000
-1140	7.177644	572.000000
-1136	12.545198	571.972374
-1132	13.931795	569.962611
-1128	17.865755	569.773056
-1124	19.707307	567.799855
-1120	22.852815	567.574186
-1116	24.946077	565.628428
-1112	27.702180	565.189150
-1108	29.873079	563.373069
-1104	32.474763	562.597962
-1100	34.657381	561.058104
-1096	37.005281	559.985457
-1092	39.367464	558.529260
-1088	41.697298	557.465560
-1084	43.966829	556.067394
-1080	46.299104	554.777451
-1076	48.468172	553.522647
-1072	50.491731	552.254205
-1068	52.790803	550.684874
-1064	54.897859	549.420995
-1060	57.113313	548.009272
-1056	59.121004	546.715819
-1052	61.420076	545.368953
-1048	63.496126	543.753951
-1044	65.629915	542.404263
-1040	67.660554	540.553308
-1036	69.635652	539.259006
-1032	71.733430	537.558947
-1028	73.761384	535.780375
-1024	75.754060	533.933665
-1020	77.824617	532.239790
-1016	79.718172	530.443515
-1012	81.730745	529.245782
-1008	83.671297	527.263557
-1004	85.598909	525.709389
-1000	87.635042	524.183522
-996	89.528352	521.996776
-992	91.505159	520.412689
-988	93.561800	518.782023
-984	95.385042	517.083519
-980	97.412019	515.248278
-976	99.306551	513.213291
-972	101.207674	511.719508
-968	103.116975	509.806072
-964	105.053743	507.805899
-960	107.006746	505.853677
-956	108.895784	504.074080
-952	110.681795	501.589825
-948	112.592317	499.552100
-944	114.432405	496.816327
-940	116.279451	494.659158
-936	118.113069	492.389753
-932	120.032625	489.616856
-928	121.843782	487.416616
-924	123.679964	484.685931
-920	125.569002	481.703226
-916	127.446443	479.817544
-912	129.229158	477.984136
-908	131.010896	475.136256
-904	132.868440	472.557600
-900	134.637727	469.966711
-896	136.442659	467.688781
-892	138.206087	464.125646
-888	139.986726	461.579591
-884	141.776277	458.555407
-880	143.569124	454.199026
-876	145.381746	451.669881
-872	147.151399	447.581551
-868	148.933748	444.212237
-864	150.747346	440.956336
-860	152.563142	438.006886
-856	154.275423	434.476749
-852	156.056673	429.184335
-848	157.794221	424.983611
-844	159.584749	419.700120
-840	161.476472	416.260320
-836	163.167879	410.606542
-832	164.926424	404.974288
-828	166.778108	400.814998
-824	168.535676	391.715664
-820	170.299226	388.834278
-816	172.078279	382.297054
-812	173.768465	375.513156
-808	175.522371	368.321342
-804	177.229524	362.957526
-800	178.974641	357.086453
-796	180.667512	351.688749
-792	182.401765	344.127334
-788	184.107210	338.906707
-784	185.783723	329.392386
-780	187.505891	324.119002
-776	189.240510	316.873227
-772	190.961824	312.628608
-768	192.618318	304.424495
-764	194.335237	301.395516
-760	196.104890	292.424467
-756	197.876619	285.237285
-752	199.635774	276.509071
-748	201.412996	274.882321
-744	203.080232	268.498781
-740	204.834383	260.448957
-736	206.511018	252.568326
-732	208.256502	251.023542
-728	209.862703	243.700370
-724	211.605012	239.315980
-720	213.317049	232.558724
-716	215.035432	227.693671
-712	216.694734	224.818459
-708	218.358552	216.765074
-704	220.026643	211.792534
-700	221.677278	205.544617
-696	223.365266	197.165248
