Energy	ln(density of states)
-15536	280.601655	3983.551899
-15532	281.737764	3982.982528
-15528	282.844453	3982.462199
-15524	284.022554	3981.912143
-15520	285.104661	3981.396512
-15516	286.184984	3980.880793
-15512	287.257875	3980.331476
-15508	288.442842	3979.769912
-15504	289.542238	3979.244247
-15500	290.604860	3978.712328
-15496	291.748353	3978.149683
-15492	292.863618	3977.632600
-15488	294.017091	3977.116547
-15484	295.076280	3976.548863
-15480	296.161882	3975.989091
-15476	297.286104	3975.489519
-15472	298.432436	3974.930912
-15468	299.461626	3974.355376
-15464	300.608476	3973.848424
-15460	301.663591	3973.304212
-15456	302.801210	3972.765696
-15452	303.949846	3972.173790
-15448	304.982698	3971.712457
-15444	306.064516	3971.182260
-15440	307.181154	3970.612783
-15436	308.319093	3970.072927
-15432	309.372728	3969.507027
-15428	310.484239	3968.978844
-15424	311.539186	3968.416240
-15420	312.644090	3967.803193
-15416	313.745256	3967.391174
-15412	314.819993	3966.850606
-15408	315.884248	3966.335649
-15404	317.014024	3965.668897
-15400	318.057786	3965.172200
-15396	319.149339	3964.647326
-15392	320.272264	3964.155311
-15388	321.337266	3963.532644
-15384	322.401262	3963.063066
-15380	323.499422	3962.427811
-15376	324.590517	3961.894471
-15372	325.665086	3961.361061
-15368	326.735551	3960.860686
-15364	327.807512	3960.236972
-15360	328.896303	3959.712270
-15356	330.024034	3959.137524
-15352	331.071992	3958.607637
-15348	332.112260	3958.085265
-15344	333.239168	3957.507119
-15340	334.331712	3956.995926
-15336	335.332445	3956.422948
-15332	336.433031	3955.897721
-15328	337.504045	3955.377421
-15324	338.602205	3954.802162
-15320	339.629060	3954.229706
-15316	340.703752	3953.737790
-15312	341.764619	3953.169091
-15308	342.860033	3952.601352
-15304	343.919923	3952.057867
-15300	344.989488	3951.526950
-15296	346.069871	3951.004802
-15292	347.154603	3950.387583
-15288	348.194215	3949.882639
-15284	349.236925	3949.333772
-15280	350.326509	3948.796461
-15276	351.404726	3948.211298
-15272	352.436494	3947.669797
-15268	353.539155	3947.092945
-15264	354.594484	3946.603400
-15260	355.611497	3945.981865
-15256	356.670579	3945.429565
-15252	357.740083	3944.925916
-15248	358.784608	3944.358144
-15244	359.863664	3943.819189
-15240	360.908357	3943.241641
-15236	361.948656	3942.760304
-15232	363.035600	3942.132488
-15228	364.087266	3941.593804
-15224	365.169267	3941.044083
-15220	366.181779	3940.545059
-15216	367.250047	3939.911272
-15212	368.324495	3939.430166
-15208	369.379930	3938.887526
-15204	370.363161	3938.339471
-15200	371.478593	3937.771459
-15196	372.520402	3937.256091
-15192	373.579988	3936.647466
-15188	374.613832	3936.137425
-15184	375.675218	3935.559490
-15180	376.739763	3935.100716
-15176	377.802949	3934.503807
-15172	378.833223	3933.887730
-15168	379.817445	3933.389252
-15164	380.908586	3932.877947
-15160	381.945039	3932.310938
