Beta	 Magnetization	Heat capacity	Energy	Energy^2
0.446382	0.734228	0.005566	-1.485116	2.233506
0.446583	0.735509	0.005555	-1.486552	2.237692
0.446784	0.736783	0.005544	-1.487983	2.241869
0.446985	0.738051	0.005533	-1.489410	2.246037
0.447186	0.739311	0.005522	-1.490833	2.250197
0.447387	0.740565	0.005511	-1.492252	2.254349
0.447588	0.741812	0.005499	-1.493667	2.258491
0.447789	0.743053	0.005488	-1.495077	2.262625
0.447990	0.744286	0.005476	-1.496483	2.266750
0.448191	0.745513	0.005465	-1.497885	2.270866
0.448392	0.746733	0.005453	-1.499283	2.274973
0.448593	0.747947	0.005442	-1.500677	2.279072
0.448794	0.749154	0.005430	-1.502066	2.283161
0.448995	0.750353	0.005418	-1.503451	2.287241
0.449196	0.751547	0.005406	-1.504832	2.291311
0.449397	0.752733	0.005394	-1.506208	2.295373
0.449598	0.753913	0.005382	-1.507581	2.299425
0.449799	0.755086	0.005370	-1.508949	2.303468
0.450000	0.756253	0.005358	-1.510312	2.307502
