Energy	ln(density of states)
-512	0.693147	256.000000
-508	-17695.235686	0.000000
-504	6.421907	254.000000
-500	7.425081	252.000000
-496	11.350496	251.837217
-492	12.750154	249.817342
-488	16.015047	249.608345
-484	17.680086	247.705561
-480	20.328279	247.079023
-476	22.257478	245.333607
-472	24.647249	244.172532
-468	26.698518	242.560963
-464	28.782625	241.411964
-460	30.791902	239.616413
-456	32.873567	238.395476
-452	34.777498	236.692268
-448	36.832063	235.282557
-444	38.728670	233.939242
-440	40.671419	231.915405
-436	42.590608	230.270524
-432	44.469026	228.417638
-428	46.380769	226.515105
-424	48.217927	224.148084
-420	49.962312	222.699113
-416	51.810823	220.505701
-412	53.685213	217.856413
-408	55.543977	215.867439
-404	57.464021	213.148902
-400	59.234895	210.525912
-396	61.021150	208.463199
-392	62.812532	206.406237
-388	64.510530	202.096479
-384	66.283845	199.518737
-380	68.117219	195.162562
-376	69.895784	192.660843
-372	71.692659	189.117609
-368	73.433626	184.474635
-364	75.195589	181.197478
-360	76.973176	177.458650
-356	78.652009	171.757782
-352	80.357576	166.631245
-348	82.047273	163.428380
-344	83.724153	159.161539
-340	85.434846	154.565643
-336	87.077913	151.677915
-332	88.795320	147.022096
-328	90.438386	143.528391
-324	92.127473	138.246669
-320	93.817415	135.504079
-316	95.526277	127.406789
-312	97.144441	122.678126
-308	98.816194	116.939855
-304	100.493440	111.030952
-300	102.167146	107.306672
-296	103.834505	105.098995
-292	105.441194	99.928101
-288	107.008821	97.963794
-284	108.678621	94.012657
-280	110.312776	89.141291
-276	111.837190	83.544892
-272	113.427644	80.353570
-268	115.011995	77.408169
-264	116.574617	73.555862
-260	118.088899	70.713858
-256	119.653474	69.953138
-252	121.215852	67.163500
-248	122.691194	65.089218
-244	124.201082	60.928037
-240	125.669099	59.573757
-236	127.134431	56.370379
-232	128.545076	54.427118
-228	129.957307	52.198879
-224	131.344148	50.992363
-220	132.728303	48.130243
-216	134.101228	47.217892
-212	135.541780	44.937335
-208	136.888948	43.343453
-204	138.208284	41.387898
-200	139.498201	39.438984
-196	140.799470	38.181686
-192	142.091829	36.827075
-188	143.355867	35.319963
-184	144.622224	34.622291
-180	145.855134	33.421053
-176	147.023592	32.307031
-172	148.210969	31.212029
-168	149.359773	30.954267
-164	150.522127	29.557059
-160	151.649568	28.746402
-156	152.748689	28.082949
-152	153.841218	26.929936
-148	154.908479	25.982067
-144	155.931551	25.750204
-140	156.928377	25.061933
-136	157.922517	24.646630
-132	158.849031	23.661155
-128	159.788362	22.740944
-124	160.696809	22.421958
-120	161.586946	21.741453
-116	162.450471	21.311420
-112	163.312166	20.875440
-108	164.115999	20.467671
-104	164.878450	19.772027
-100	165.644685	19.665923
-96	166.340730	19.439422
-92	167.055574	18.737261
-88	167.756013	18.242753
-84	168.435335	18.212228
-80	169.053987	17.845600
-76	169.644075	17.463080
-72	170.228059	17.305411
-68	170.731599	17.003528
-64	171.247713	16.768694
-60	171.722444	16.502336
-56	172.167879	16.128118
-52	172.556062	15.948394
-48	172.911775	15.574346
-44	173.255647	15.254889
-40	173.571443	14.961142
-36	173.859407	14.585580
-32	174.121248	14.101870
-28	174.362825	13.866556
-24	174.536653	13.469914
-20	174.734163	13.134855
-16	174.876985	13.263545
-12	175.001741	13.113658
-8	175.085603	12.794764
-4	175.150178	12.685801
0	175.174959	12.495777
4	175.166292	12.317763
8	175.122957	12.194301
12	175.030672	12.039214
16	174.919221	11.864209
20	174.764192	11.719827
24	174.616853	11.421041
28	174.422884	11.287214
32	174.194124	11.094651
36	173.926424	11.020294
40	173.628206	11.005985
44	173.295808	10.832183
48	172.927522	10.736724
52	172.553865	10.671665
56	172.146150	10.467299
60	171.685091	10.294807
64	171.202058	10.214645
68	170.707796	10.328348
72	170.137483	10.176607
76	169.563875	9.937770
80	168.951204	9.793466
84	168.324007	9.677583
88	167.651643	9.556877
92	166.948884	9.488244
96	166.242708	9.455173
100	165.522005	9.130529
104	164.753206	9.173582
108	163.953645	8.974903
112	163.114778	8.767133
116	162.308992	8.845454
120	161.438020	8.595473
124	160.545564	8.529407
128	159.639314	8.314082
132	158.697176	8.276152
136	157.711458	8.204297
140	156.739900	8.301496
144	155.730745	8.222746
148	154.761995	8.377988
152	153.705720	8.270197
156	152.604890	8.070483
160	151.442537	7.948313
164	150.354280	7.965883
168	149.221345	7.827263
172	148.051057	7.751546
176	146.842073	7.708588
180	145.629426	7.586705
184	144.428987	7.698011
188	143.194856	7.608701
192	141.983552	7.509817
196	140.681184	7.554258
200	139.399690	7.308382
204	138.118440	7.287912
208	136.792024	7.066068
212	135.462312	7.064693
216	134.065584	6.798707
220	132.640535	6.848357
224	131.218050	6.966812
228	129.830110	6.858404
232	128.398225	7.072515
236	126.971956	6.791221
240	125.511629	6.596420
244	124.042879	6.659140
248	122.602449	6.436118
